ESTACIONES;LONEST;LATEST;ELEEST;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;PRONO1;PRONO2;PRONO3
BUENAVISTA;-78.2;-9.434;216;0;0;69.4;0;0;0;0;0;0;0;0;1.9;0;0;0
ALCANTARILLA;-77.55;-11.05;120;0;0.5;1.3;0;;0.2;0.2;1.5;0.6;0;0;0.1;0;0;0
CAMAY;-77.649;-10.913;59;0.1;0;0.1;0.6;;0.9;0.8;1.6;1.3;0.9;0;;0.02;0.02;0.01
LOMASDELACHAY;-77.367;-11.367;300;0.9;1.2;7.3;10.3;16.8;24.4;25.6;37.4;41.8;5.6;9.1;;0.72;0.41;0.38
HUAYAN;-77.117;-11.45;350;5.3;1.3;9.9;2.1;2.8;6.1;4;6.2;4.8;0.1;1.3;0;0;0;0
NANA;-76.839;-11.989;523;4.4;0.4;5.8;0;2.8;1.9;1.5;0;1.7;1.6;1.4;0;0;0;0
FONAGRO;-76.136;-13.474;60;6.3;0.2;0.4;0.3;0.5;2.3;0.5;1.5;3.7;1.5;1.6;0.5;0.49;0.35;0.16
HACIENDABERNALES;-75.966;-13.763;294;4.7;0;0.2;0;0.2;0.2;0;0.3;0.2;0;0;0;0;0;0
RIOGRANDE;-75.22;-14.542;317;34.5;0.9;3.4;0.1;0;0.3;0.2;0;0;0;0;0.1;0;0;0
SANCAMILO;-75.729;-14.068;398;36.5;1.3;9.6;0;0.8;0.7;0.4;0;0.1;0.1;0.1;0.1;0;0;0
COPARA;-74.915;-14.983;600;8.3;0.1;1.5;0;0;0;0;0;0;0;0;0.1;0;0;0
OCUCAJE;-75.681;-14.383;313;11;0.2;0.2;0;0.1;0.4;0;0;0;0.2;0;0;0.31;0.02;0.38
PUNTAATICO;-73.694;-16.229;20;0.4;0;0;0;0.5;0.7;0.3;0.4;0.7;0.4;0;;5.06;4.08;5.77
PAMPABLANCA;-71.723;-17.069;100;2.3;0;0.1;0.1;0.5;0.6;0.8;0;0.9;0;0;;0.01;0.17;1.85
ILO;-71.288;-17.627;75;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1.59
SAMAGRANDE;-70.488;-17.784;534;0;0;0;0;0;2;10.8;0.7;15.7;1.1;5.8;0;0.04;0;0.96
JORGEBASADRE;-70.251;-18.027;545;0.2;2;0;0;0.6;5.3;10;2.7;11.1;1.5;7.2;0.2;0;0;0.09
PUNTACOLES;-71.374;-17.699;25;0.5;0;0;0;0.1;0.3;16;0;0.9;0.1;0.2;0;0.12;0.11;1.41
PUERTOPIZARRO;-80.457;-3.508;7;249.6;251.8;250.2;63;32.4;0;0.2;0;0;0.8;0;0;30.8;26.59;21.85
PAPAYAL;-80.237;-3.576;45;155.8;86.9;298.2;137.7;61.5;0.8;0;0.6;0.3;0.3;0;6.6;1.71;1.21;2.2
CANAVERAL;-80.661;-3.949;159;152.8;230;370.2;131.6;36.9;0.7;0;0;0;0;0;0;0.1;0;0
MIRAFLORES;-80.627;-5.169;30;89.5;198.4;524.1;7.1;3.5;;0.2;0;0;1.8;0;0.2;3.86;4.42;2.7
MALLARES;-80.746;-4.864;29;20.2;167.3;450.2;11;5.6;0;0.5;0;0;0.5;0.5;0;3.91;4.69;2.46
LAESPERANZA;-81.068;-4.932;6;13;122.5;195.9;0.9;3.8;0;0;0;0;0.2;0.21;0.2;4.93;5.41;2.26
CHUSIS;-80.847;-5.525;6;20.9;24.7;612.6;0;1.5;0;0;0;0;0;0;0.2;12.71;14.45;9.18
MORROPON;-79.984;-5.184;109;205.8;680.7;900;82.2;11.7;0.5;0;0.2;0;8.7;0.1;4;0;0;5.42
SANMIGUEL;-80.682;-5.304;20;97.4;86.3;503.5;1.7;2.9;0;0;0;0;0.1;0;0.1;5.79;5.97;3.68
CHULUCANAS;-80.169;-5.102;87;;;1151.4;87.3;16.2;0.1;0;1.5;0;4.7;0.3;0;0;0;4.63
LAMBAYEQUE;-79.921;-6.704;12;2.2;69.5;124.6;0;1;0.3;0;0;5.4;0.3;0;0.3;14.98;16.14;14.15
CAYALTI;-79.559;-6.898;70;6.3;135;207.5;0.8;2.1;0.1;0;3.7;0.2;0.7;0.3;6.4;0.74;0.33;1.61
TALLA;-79.423;-7.271;105;18.3;25.3;150;0;0.4;0;0;0;0;3.2;0;3.3;0;0;0
REQUE;-79.847;-6.898;15;1.4;66.6;61.2;2.2;0.4;0;0;0.1;0;0.5;0;0.1;44.84;48.03;48.15
JAYANCA;-79.779;-6.322;65;35.4;326.1;734.5;11.6;18;0;0;0;0;4.6;0;0;2.07;2.57;0.87
SANPEDRO;-80.034;-5.085;309;158.2;793.1;922.2;;52.1;;;2.1;0;5.2;1.2;0;0;0;19.91
ELTIGRE;-80.45;-3.767;61;142.1;224.6;311.4;;111.4;3.5;0.5;2.3;1.3;2.2;0.1;0.5;0;0;0.03
BERNAL;-80.763;-5.491;7;47.6;116.7;430.1;5.8;1.3;0;0;0.1;0;0;0;0;10.24;10.63;8.09
LANCONES;-80.491;-4.576;123;50.6;348.9;565.5;27.7;19.6;;0;0;0;4.9;0;0;0.2;0;0
MAZAN;-73.08;-3.485;95;;;332.7;230.5;347.2;208.1;88.7;131.7;146.3;255.4;327.8;185.8;36.88;12.38;77.74
PUERTOALMENDRA;-73.284;-3.767;109;586.3;102.2;341.5;210.1;233.3;132.8;49.2;122.9;191.9;243;289.9;160.6;26.23;16.03;88.81
TAMSHIYACU;-73.161;-4.003;94;416;214.1;394.8;283.6;309.2;191.1;76;200.8;180.4;231.4;390.3;232.3;33.55;17.52;69.6
SANROQUE;-73.25;-3.75;95;;128.2;447.7;197.58;302.2;189.2;57.1;165.4;101.3;367.9;275.2;137.1;26.23;16.03;88.81
SAPOSOA;-76.779;-6.915;312;205.6;217.4;160.9;105.2;152.6;69.8;44;115.8;113.1;103;264;;5.79;11.13;88.93
NARANJILLO;-77.39;-5.83;900;;258.5;269.5;128.2;120.1;208.2;10.5;93.3;96.6;173.1;228.8;;19.41;11.03;109.64
JAEN;-78.779;-5.678;632;99.9;34.9;194.6;97;74.7;58.9;23.1;34.5;10.2;77.7;37.2;94.4;7.9;5.51;42.99
BAGUACHICA;-78.542;-5.661;410;73.1;52.6;195.3;89.1;74.2;86.5;28.6;41.3;28.4;34.6;25;68;0.15;0.64;8.22
CHIRINOS;-78.915;-5.305;1528;105.1;130.2;282;245.3;103;92;52.4;69.1;35.2;48.4;90.4;143.3;21.4;10.63;110.91
SANRAMON;-76.085;-5.949;131;340.7;279.8;213.2;297.9;255.4;139.8;31.6;30;112.4;142.7;337.1;;18.51;5.49;118.48
NAUTA;-73.6;-4.519;112;;;411.2;166.9;131;197.2;48.5;209.1;213.1;225.6;200.1;193;37.61;13.86;73.61
REQUENA;-73.836;-5.043;117;;;452.4;171.1;185.9;202.7;100.6;116.6;213;111.3;211.1;199.6;41.91;13.04;78.81
GENAROHERRERA;-73.65;-4.9;124;277.5;147.9;510.4;150.1;160.8;206.8;100.4;203;174.7;141.1;331.7;276.1;42.31;16.52;68.97
ELPORVENIR;-76.322;-6.593;202;158.7;135.2;109.7;70.7;79.2;71.1;31.5;78.5;75.7;31.3;92.6;;14.76;8.81;98.55
TABALOSOS;-76.61;-6.406;341;271.5;220.1;212.1;158.4;186.5;100.1;103;182;226.2;112;211.7;;16.48;12.84;136.47
RIOJA;-77.167;-6.047;817;187.3;305.2;178.3;100;150.7;136.5;28;100.7;98.1;119.4;154.4;;36.75;16.7;124.34
MOYOBAMBA;-76.967;-6;842;171.1;241.1;104.7;41.5;138.9;196.9;19.4;95.6;105.9;114;149.4;;12.77;6.48;114.78
LAMAS;-76.525;-6.424;747;230.4;177.6;250.4;111.1;165.2;92.5;59.7;94.6;131.2;114.3;194.9;;15.8;5.21;123.63
SAUCE;-76.203;-6.694;600;170.5;98.7;203.8;129.3;111.3;50.3;63.9;136.9;190.2;83.9;112.4;;28.52;9.23;85.59
NAVARRO;-75.779;-6.356;145;538.6;323.8;204.8;140.8;218.5;153.9;26.7;60.4;316.3;134.3;198.6;;27.5;6.17;114.89
CONTAMANA;-75.006;-7.353;150;309;182;136.4;64.8;205.1;113.1;37.1;107.3;60.8;152.5;47.8;128.9;17.68;11.72;50.91
TANANTA;-76.596;-8.11;450;354.9;403.3;285.6;124.5;212.3;40.5;59.9;147.8;177.2;183.6;373.8;277.5;12.15;39.15;133.67
ELMARONAL;-75.085;-8.474;180;466.4;212.2;280.9;140.3;110.5;10.8;33.3;26.6;147.2;146.3;211.5;175.3;12.7;12.87;51.27
AGUAYTIA;-75.508;-9.034;270;650.8;535.3;580;442.6;356.4;246.2;143.9;123.6;134.1;478.1;829.5;268.2;8.45;5.28;108.33
TINGOMARIA;-76;-9.288;645;385.1;420.4;427.7;204.8;281.8;154.8;25.8;143.5;215.1;319.7;675.4;354.2;3.82;36.06;88.08
TULUMAYO;-75.9;-9.1;1000;427.7;377.8;239.6;238.4;208;197;50.1;112;175.4;218.6;342.9;372.2;16.37;44.55;171.12
CAMPANILLA;-76.67;-7.442;290;233.4;126;156.1;297.2;139.1;58.2;86.6;143.8;98.6;159.5;339.2;;5.81;11.01;85.9
ALAO;-76.73;-6.519;407;145.2;221.4;235.7;55.6;171.7;74.8;60.6;67.1;169.2;167;199.2;;7.85;10.22;130.96
PONGODECAYNARACHI;-76.3;-6.334;240;402.3;445.6;244.1;454.1;443;236.1;77.4;98.6;142.8;134.2;515.9;;19.06;6.55;135.18
MANITI;-72.867;-3.534;88;476;165;463.5;213;303;252.5;93.5;183;210;241;295;233;18.97;10.93;115.45
TIMICURILLO;-73.084;-3.517;98;401;161.9;315.1;182.1;429.2;195.8;80;167.3;278;363.1;333.6;136.2;36.88;12.38;77.74
BELLAVISTA;-73.084;-3.484;92;341.6;197.8;371.8;177;364.4;184.3;67.8;157.4;156;288.3;284.2;198;36.88;12.38;77.74
PUNCHANA;-73.267;-3.75;87;;;;;351.7;244.2;80.4;138.8;123;419.1;339.6;103.6;26.23;16.03;88.81
SANTAROSA;-69.956;-4.25;100;521.8;279.6;378.4;293.6;138.4;72.3;93.9;140;342.8;171.1;238.7;230.2;36.56;22.88;68.22
FRANCISCOORELLANA;-72.767;-3.424;83;405.9;178.9;319.3;392.8;324.2;273.8;104.8;165;158.7;246.5;209.4;372.8;18.97;10.93;115.45
JAMALCA;-78.238;-5.894;1189;126.4;75;368.5;148.7;82.8;89.6;12.2;63.7;25.7;114.5;51.8;56.7;0.99;0.49;25.04
SANTARITADECASTILLA;-74.367;-4.6;100;268.2;135.6;339.8;225.6;168.6;283.8;81.6;253;159.8;203.6;350;367.5;55.44;13.12;94.22
BRETANA;-74.35;-5.25;109;406.2;240.4;402.1;284.8;;154.8;97.3;140.2;281.2;135.9;203.4;170;42.38;14.29;99.86
TAMANCO;-74.284;-5.784;126;395.5;178;278.4;200.1;178.4;156.2;62.1;172.3;134;212.6;276.2;280.2;44.02;15.29;76.85
FLORDEPUNGA;-74.317;-5.384;112;299;227;307.6;181.3;308.2;271.9;50.6;181.9;207;172.7;161.8;343.7;49.67;15.7;79.83
SANTAMARIADENANAY;-73.696;-3.89;120;628.5;217.6;229.1;287.3;414.5;295.5;60.5;252.8;195.4;350.9;271.1;352.7;34.2;13.98;98.04
DOSDEMAYO;-76.407;-7.407;307;204.4;128.5;165.3;108.9;111.5;141.6;67.7;52.1;119.4;106.4;170.7;;38.44;28;161.94
SORITOR;-77.084;-6.135;890;209.7;229.2;305.7;;173.8;206;28.2;120;155.2;190;190;;29.25;8.04;153.35
JEPELACIO;-76.915;-6.101;1192;164.4;225.7;174.8;66.3;150.4;132.2;19.6;100.2;123;84.4;70.6;;11.92;4.69;86.67
SANPABLO;-76.576;-6.813;274;94.3;207.9;182.9;60;230.5;29.6;51.2;83;153.9;98.1;147.7;;6.18;10.21;86.99
CUNUMBUQUE;-76.508;-6.508;400;159.1;139.5;141;94.3;129;75.9;27.4;67.2;110.2;37.2;127.1;;9.28;7.12;100.47
NUEVOLIMA;-76.474;-7.118;200;132.8;149.1;97.6;68.5;75.3;27.9;35.4;77.7;127.5;84.3;183.5;;5.95;10.23;76.24
PICOTA;-76.339;-6.949;200;126.7;137.1;63;64.3;54.4;70.1;67;52.1;84.5;58.2;111.5;;5.87;2.85;68.35
SANANTONIO;-76.424;-6.424;578;241.4;133;307.9;175.3;218.6;81.8;59.6;119.3;150.8;109.8;233.5;;15.8;5.21;123.63
SHANUSI;-76.254;-6.068;147;393.6;293.4;296.2;320.4;308.9;145.3;54.1;112.9;130.1;269.6;555.9;;23.25;7.76;122.87
PILLUANA;-76.281;-6.779;200;165.7;116.5;201.4;106.8;103.6;33.6;47.1;64.6;87.6;57;79.5;;8.79;4.68;79.48
CHAZUTA;-76.098;-6.569;170;349.2;230.4;186.6;149.7;117.5;61.8;27.6;104.3;126.1;102.4;194.9;;32.31;11.72;129.63
PUCALLPA;-75.847;-6.458;160;367.9;544.9;266.3;324;275.5;158.8;25.2;150.8;187.2;246.2;482.5;;35.58;13.23;154.6
PELEJO;-75.79;-6.216;145;315.4;234.6;222.7;239;176.8;178;61.8;87.6;218.1;80.5;283.6;;24.79;8.58;84
HUANUCO;-76.237;-9.966;2090;72.1;70.9;74;23.7;12.3;4;4.8;5.1;15.9;32.3;49.4;118.7;0.48;6.54;14.63
RECUAY;-77.454;-9.729;3444;117.5;191.2;292.8;177.9;;4.4;0;3.9;33.1;82.7;47.5;116.7;1.25;6.28;32.42
POMABAMBA;-77.467;-8.784;3605;141.3;183.8;221.5;126.1;;40.4;5;18.5;35.6;71.9;76.1;218.8;0.47;10.08;101.33
CHAVIN;-77.176;-9.586;3137;132.3;88.2;156.9;98.8;;10.4;0.9;8;16.1;54.7;65.1;55.8;9.71;14.52;128.2
JACASCHICO;-76.5;-9.884;3673;241.3;162.4;215;106.5;65.8;13.8;12.9;22.8;31.6;50.3;95.5;149.2;13.88;30.14;238.54
CANCHAN;-76.288;-9.949;2550;66.2;74.6;77.5;22.8;17.6;0;3.9;5;10.7;25.7;54.1;135.3;0.82;12.57;62.2
YANAHUANCA;-76.508;-10.491;3190;232.4;128.8;275.1;114;70.9;16.5;0;20.2;119.2;74.8;110.9;141;2.41;32.58;59.82
SANTAANA;-75.221;-12.004;3302;160.5;143.4;109.4;90.9;14.2;0.2;0;3.8;55.8;68.7;75.7;236.8;12.37;17.56;48.1
JAUJA;-75.479;-11.783;3360;120.3;140.1;113.1;57.4;26;0.4;0;16.7;28.1;43.6;125.3;86.5;2.04;26.84;53.63
PAMPAS;-74.866;-12.393;3240;138.5;107;109.1;42.3;27.5;0;5.1;16.3;39.9;40.3;47.2;60.7;8.11;56.6;111.01
CHIQUIAN;-77.15;-10.15;3382;142.1;132.5;280.4;43.9;;0;0;0;18.2;35.7;0;58;0.4;11.27;34.2
CAJATAMBO;-76.984;-10.467;4040;191.5;218.5;295.3;77.8;41.5;1.6;0;0.1;5.3;45.6;14.2;41.5;0.9;11.38;43.32
OYON;-76.767;-10.667;3676;130;128.3;181.4;60.5;29;0.4;0;2.7;7.2;35.8;19.6;45.5;1.56;7.87;24.17
PICOY;-76.734;-10.917;3075;64.5;139.4;169.4;38;;0;0;0;0;47.5;7.4;;0;2.16;11.13
CANTA;-76.617;-11.467;2974;147.5;151.8;220.5;27.7;;0;0;0;0.8;28.1;5.5;24.3;2.84;0.91;24.3
MATUCANA;-76.378;-11.839;2431;125.9;106;155.9;26.8;1.7;0;0;0;2.1;8.4;9.5;15.8;4.09;0.15;35.65
MARCAPOMACOCHA;-76.325;-11.405;4479;241.9;195.1;204.1;128.4;103.4;3.8;3;14.3;67.9;110.7;80.2;;20.15;41.61;62.05
SANRAFAEL;-76.169;-10.322;3060;109.6;104.8;139.5;37;45.2;1.3;14;8.6;45.4;62.3;59.5;133;1.07;5.85;7.17
TARMA;-75.69;-11.397;3200;93.6;134.3;83.6;23.2;14.9;0.9;0.2;1.1;11.9;42.6;26.4;56.6;1.58;34.91;41.79
LAOROYA;-75.966;-11.576;4007;147.4;182.7;111;72.4;37.8;7.4;1.4;21.6;48.9;47.2;64.4;111;4.08;13.56;34.58
VIQUES;-75.234;-12.163;3186;183;137.6;82.9;38.8;9.6;0;0;3;52.5;37.6;47.7;65.4;5.71;23.69;39.34
ACOSTAMBO;-75.059;-12.366;3675;236.7;193.1;121.4;86.8;50.2;0.8;13.1;10.4;33.2;34.1;47.1;88.3;10.27;50.29;81.25
HUAROCHIRI;-76.234;-12.134;3182;246.9;252.6;300.3;38.5;5.8;0;0;0.7;1.8;12.2;12.2;11.8;0.54;0.04;16.24
HUAYAO;-75.339;-12.034;3360;191.4;162.2;89;63.5;29.9;6.5;3.8;6.9;51.9;53.1;49.5;83.3;9.2;23.48;34.88
PACARAN;-76.055;-12.862;721;64;2.5;29.1;0;;0;0;0;0;0;0;;0;0;0
PILCHACA;-75.085;-12.406;3650;244.9;138.4;130.7;62.6;35.2;4.2;4;17.9;50.4;27.5;41.2;151.7;10.27;50.29;81.25
LIRCAY;-74.729;-12.983;3513;222.8;187.9;157.1;92.2;63.3;5.7;15.6;9.7;57.2;66.6;41.1;84.1;15.59;61.84;151.96
ACOBAMBA;-74.559;-12.864;3356;200.6;163.1;139.5;67.4;58;9.4;4.8;4.9;45.8;43.8;23.2;67;4.94;59.72;102.44
LAQUINUA;-74.135;-13.034;3316;147.5;215.6;110.6;63.2;41;0.3;5.5;15.6;55.8;34.9;45.3;120.5;9.91;38.57;61.84
SALCABAMBA;-74.786;-12.199;3275;188.1;137.7;134;62.4;63.1;8.9;4.9;8.7;27.5;61.8;102.9;135;3.73;17.92;87.79
CHAMANA;-77.559;-10.208;1221;84;64.6;176;0;;0;0;0;0;1.4;0.6;1.9;0.01;0;14.77
MALVAS;-77.65;-9.934;3250;174.3;166.4;346.5;34.8;2.9;1;0;0;5.6;13.5;11;21;0;0;10.1
MAYORARCA;-77.417;-10.167;3200;183.4;279.9;465.3;82.9;43.9;3;0;0;13.9;29.6;16.7;35.3;2.65;0.12;37.26
PARIACOTO;-77.89;-9.56;1260;28.4;102.5;284;1.2;0;0;0;0;1.7;14;2;;0;0;0.11
CANCHACALLA;-76.532;-11.845;2487;257.4;246.9;321.3;0.2;0.3;0;0;0;0;4.2;;;0.23;0.01;1.38
CHOSICA;-76.69;-11.93;906;52.6;14.3;43.4;0;0;0;0;0;0;0;0;0;0;0;0
RIOBLANCO;-76.259;-11.735;3550;178.9;230.4;162.2;63;30.4;0.5;0;1.3;12.5;50.4;30.1;43.4;1.31;22.7;68.95
SANPEDRODEPILAS;-76.217;-12.45;2729;202.8;159;271;8.6;;0;0;0;0;0.1;0.8;0.9;0;0;0.07
SHEQUE;-76.499;-11.669;3630;171.9;148.1;164.4;26.4;6;0;0;1.5;7;24.3;16.2;;9.59;0.88;38.15
LANGA;-76.42;-12.133;2837;143.2;128.4;282.3;9.6;2.3;0;0;;0;1.5;3.8;1.9;0;0;0.09
HUACHOS;-75.542;-13.22;2598;325.2;314.3;432.3;82.2;24.2;0;0;2.2;4.8;27;20.4;19.8;1.86;0.04;9.13
CALLANCAS;-78.491;-7.779;2074;114.3;106.1;304.7;102.6;54.2;1.8;0;7.8;9.1;40.6;11.6;24.6;0;0;10.46
SANBENITO;-78.931;-7.408;1600;108;496.8;944.6;29.5;12.1;0;0;1.2;0.2;4.3;2.6;7.7;0;0;0.03
